ImagePath,Label
Forest/Forest_904.jpg,1
Pasture/Pasture_593.jpg,5
PermanentCrop/PermanentCrop_2252.jpg,6
AnnualCrop/AnnualCrop_394.jpg,0
Residential/Residential_1142.jpg,7
Forest/Forest_892.jpg,1
Industrial/Industrial_1809.jpg,4
River/River_2211.jpg,8
AnnualCrop/AnnualCrop_2050.jpg,0
PermanentCrop/PermanentCrop_2075.jpg,6
Residential/Residential_2290.jpg,7
PermanentCrop/PermanentCrop_1922.jpg,6
River/River_1089.jpg,8
HerbaceousVegetation/HerbaceousVegetation_903.jpg,2
AnnualCrop/AnnualCrop_973.jpg,0
AnnualCrop/AnnualCrop_522.jpg,0
HerbaceousVegetation/HerbaceousVegetation_2322.jpg,2
River/River_983.jpg,8
SeaLake/SeaLake_1942.jpg,9
SeaLake/SeaLake_1605.jpg,9
Industrial/Industrial_761.jpg,4
River/River_237.jpg,8
River/River_2065.jpg,8
Forest/Forest_2819.jpg,1
Forest/Forest_2549.jpg,1
HerbaceousVegetation/HerbaceousVegetation_1764.jpg,2
SeaLake/SeaLake_2912.jpg,9
Pasture/Pasture_972.jpg,5
SeaLake/SeaLake_2652.jpg,9
SeaLake/SeaLake_1137.jpg,9
PermanentCrop/PermanentCrop_2499.jpg,6
Highway/Highway_2199.jpg,3
Industrial/Industrial_389.jpg,4
PermanentCrop/PermanentCrop_2044.jpg,6
PermanentCrop/PermanentCrop_1228.jpg,6
Industrial/Industrial_1209.jpg,4
Industrial/Industrial_1932.jpg,4
River/River_348.jpg,8
PermanentCrop/PermanentCrop_486.jpg,6
Industrial/Industrial_353.jpg,4
River/River_2341.jpg,8
River/River_2416.jpg,8
Pasture/Pasture_1674.jpg,5
PermanentCrop/PermanentCrop_2442.jpg,6
PermanentCrop/PermanentCrop_1656.jpg,6
Pasture/Pasture_1194.jpg,5
River/River_1093.jpg,8
Highway/Highway_776.jpg,3
AnnualCrop/AnnualCrop_274.jpg,0
Highway/Highway_1071.jpg,3
Pasture/Pasture_1948.jpg,5
Residential/Residential_1127.jpg,7
SeaLake/SeaLake_1305.jpg,9
River/River_876.jpg,8
PermanentCrop/PermanentCrop_629.jpg,6
HerbaceousVegetation/HerbaceousVegetation_1878.jpg,2
HerbaceousVegetation/HerbaceousVegetation_2017.jpg,2
River/River_691.jpg,8
Forest/Forest_1854.jpg,1
SeaLake/SeaLake_2120.jpg,9
Pasture/Pasture_1391.jpg,5
Industrial/Industrial_36.jpg,4
AnnualCrop/AnnualCrop_2383.jpg,0
Highway/Highway_1417.jpg,3
AnnualCrop/AnnualCrop_2715.jpg,0
Residential/Residential_2234.jpg,7
River/River_793.jpg,8
River/River_861.jpg,8
SeaLake/SeaLake_2835.jpg,9
Highway/Highway_1769.jpg,3
PermanentCrop/PermanentCrop_1874.jpg,6
AnnualCrop/AnnualCrop_1130.jpg,0
Industrial/Industrial_2110.jpg,4
PermanentCrop/PermanentCrop_48.jpg,6
Highway/Highway_1793.jpg,3
AnnualCrop/AnnualCrop_465.jpg,0
